Date,Close,High,Low,Open,Volume
1/2/20,301.1949768,301.2135374,299.0255085,299.9619135,59151200
1/3/20,298.9141541,300.0545271,297.6996235,297.7552487,77709700
1/6/20,300.0545349,300.1379727,297.0135399,297.1340706,55653900
1/7/20,299.2108459,299.9618144,298.7565358,299.4796916,40496400
1/8/20,300.8055115,302.0385744,299.1552312,299.4055446,68296000
1/9/20,302.8452759,302.9194617,301.7976204,302.3909938,48473300
1/10/20,301.9736633,303.5961309,301.5008492,303.4385356,53029300
1/13/20,304.0505066,304.0597586,302.1684449,302.6041946,47086800
1/14/20,303.5869446,304.6716645,303.0213839,303.6054769,62832800
1/15/20,304.2729797,305.0424806,303.4107608,303.4941986,72056600
1/16/20,306.8040771,306.8040771,305.4412029,305.672984,54050300
1/17/20,307.7589722,307.9721927,306.7391296,307.5271911,95846000
1/21/20,307.1563721,307.9722463,306.7113704,306.7855279,77742400
1/22/20,307.1934509,308.6861362,307.0358556,308.0278574,48914900
1/23/20,307.5457764,307.9629938,305.4041208,306.5352139,51963000
1/24/20,304.8106995,308.2966965,303.5034506,308.2132587,87578400
1/27/20,299.9247437,301.4266807,299.1459626,299.4889941,84062500
1/28/20,303.0676575,303.9576888,300.0174108,301.3710043,63834000
1/29/20,302.8173828,304.680912,302.6134143,304.4491309,53888900
1/30/20,303.8001709,304.0134197,299.9618899,300.7221105,75491800
1/31/20,298.2837524,303.3273116,297.356628,303.169688,113845600
2/3/20,300.4995728,302.3909146,299.6651664,299.7856971,69083000
2/4/20,305.0795898,305.9603694,303.8372464,304.1617456,62573200
2/5/20,308.6026001,308.8158489,306.5722238,308.0556001,65951100
2/6/20,309.6410828,309.835771,308.5470542,309.5761773,50359700
2/7/20,307.9907837,309.6503162,307.4345033,308.5655964,64139400
2/10/20,310.2900085,310.354914,307.0543532,307.0914461,42070000
2/11/20,310.8277893,312.4595093,310.2900412,311.6621958,54864500
2/12/20,312.8302917,313.0435122,311.9124195,312.2832635,43992700
2/13/20,312.496582,313.4793317,311.1058953,311.3840213,54501900
2/14/20,312.9972534,313.1177841,311.6992847,312.9138156,64582200
2/18/20,312.1905518,313.0620508,310.7813048,311.9865833,57226200
2/19/20,313.6832886,314.3693516,312.8859751,313.1733814,48814700
2/20/20,312.3945923,313.9614349,309.3628772,313.1270002,74163400
2/21/20,309.1774292,311.3376164,308.3429947,311.0223975,113788200
2/24/20,298.9234314,309.2515815,297.8294032,299.590962,161088400
2/25/20,289.8654175,300.9538166,288.975386,300.3326591,218913200
2/26/20,288.7992859,294.9275653,288.0575976,291.2839728,194773800
2/27/20,275.8288879,288.8549791,275.8288879,283.1995126,284353500
2/28/20,274.6699524,276.1811701,264.7311752,267.6608924,384975800
3/2/20,286.5649109,286.6298164,273.0010748,276.4777917,238703600
3/3/20,278.3598328,290.9687308,275.8844264,286.9450141,300139100
3/4/20,290.0601807,290.2827098,281.2246846,283.8113701,176613400
3/5/20,280.4180603,285.9900874,278.1466223,282.7544321,186366800
3/6/20,275.7823792,277.00619,269.0792887,271.7864758,228667200
3/9/20,254.2453461,263.4794976,253.5221901,255.2373477,309417300
3/10/20,267.4012146,267.4939044,253.568507,263.8966857,276444100
3/11/20,254.3658142,261.3934324,251.1394397,260.2438073,255316300
3/12/20,230.0288544,247.2270162,229.6301835,237.3438659,392220700
3/13/20,249.6932068,251.6957993,230.4090121,243.9172103,329566100
3/16/20,222.3708038,238.1782643,220.0622589,223.6038669,297240000
3/17/20,234.3770599,237.5014789,219.7933965,227.1825653,262070500
3/18/20,222.509903,230.2699313,211.4029543,219.0331857,327597100
3/19/20,222.9826813,229.3520354,215.2968263,221.8145096,289322000
3/20/20,213.3734283,227.9868951,213.0936527,226.177695,347158800
3/23/20,207.9178619,214.1940958,203.5440773,212.8045664,326025200
3/24/20,226.7559052,227.641864,218.0363259,218.6145186,235494500
3/25/20,230.1504974,239.0659388,223.5851666,228.3599527,299430300
3/26/20,243.5888367,245.0809353,232.2580309,232.6963427,257632800
3/27/20,236.3334503,243.2251876,234.1232494,236.1935696,224341200
3/30/20,244.0085449,244.7359532,236.4360311,238.4597197,171369500
3/31/20,240.37146,245.5752214,238.9446198,242.9919962,194881100
4/1/20,229.5535889,240.2875483,227.4552928,231.2602047,189554600
4/2/20,234.8506622,235.6433435,228.0988055,228.6583569,177660400
4/3/20,231.4560699,236.24019,228.6863177,233.8527832,135561200
4/6/20,247.0020752,248.9978016,231.4373931,240.4554017,188061200
4/7/20,247.2539215,256.4864198,247.0301123,255.7217005,201427200
4/8/20,255.5538635,257.3910398,247.3658454,249.893119,153774500
4/9/20,259.4426575,262.2403855,256.8967147,258.8644364,189999200
4/13/20,257.0739441,258.7992157,253.1104955,258.454167,114839100
4/14/20,264.6557922,265.6909381,256.9340629,262.0352555,134143400
4/15/20,259.0323792,264.7956933,256.8874368,258.8551874,121775000
4/16/20,260.2820129,261.1493019,257.167212,260.3286304,131798300
4/17/20,267.3135986,267.9290737,263.359457,266.1385438,146684800
4/20/20,262.6041565,267.4535646,262.3803473,263.5553741,100109300
4/21/20,254.6306152,259.2934963,253.6793693,258.0718237,126385700
4/22/20,260.2820129,262.053902,258.2396689,259.5825808,92951600
4/23/20,260.2633667,264.7957021,259.9556291,261.5783026,104709700
4/24/20,263.8910828,264.5718736,259.7224661,261.8021212,85063200
4/27/20,267.6959534,268.8336973,265.4298003,265.8960884,77896600
4/28/20,266.4650574,271.7527495,266.1572912,271.3983659,105270000
4/29/20,273.4406128,274.9980273,270.8294113,271.8738919,118745600
4/30/20,270.8947449,273.5432579,269.1321622,272.0417954,122901700
5/1/20,263.7232361,271.0626064,262.5388461,266.0733179,125180000
5/4/20,264.4506836,264.7584213,260.3100423,261.8114766,80873200
5/5/20,266.8939209,269.7476011,264.5811222,267.3135915,79569900
5/6/20,265.0848083,269.0109465,264.6464964,268.6192804,73632600
5/7/20,268.2834778,270.2418932,267.7705723,268.3487649,75250400
5/8/20,272.7226257,273.1982488,270.3165629,271.463642,76452400
5/11/20,272.778595,274.1774596,270.3352494,270.7642265,79514200
5/12/20,267.3415833,274.4011622,267.2016741,273.98152,95870800
5/13/20,262.6134644,267.8265619,260.1514495,266.7727463,144721100
5/14/20,265.7562866,265.8868325,254.5840116,260.1421872,121977900
5/15/20,266.9778748,267.0244922,262.3709467,263.3314989,111146300
5/18/20,275.1099243,276.7419323,272.9650109,273.2913897,119703800
5/19/20,272.2842407,276.2383542,272.2655994,274.5037764,95189300
5/20/20,276.9098511,277.786475,275.6415611,275.8747051,85861700
5/21/20,274.9980774,277.599973,273.8883094,276.7793014,78293900
5/22/20,275.5202942,275.6974859,273.449974,274.7089575,63958200
5/26/20,278.9148865,281.8152134,275.5389651,281.5727344,88951400
5/27/20,283.0648193,283.1021303,276.8538592,281.7498836,104817400
5/28/20,282.5426331,286.1516987,281.8618421,284.1093544,90405200
5/29/20,283.8016052,284.3984392,279.2786048,282.0669986,119090800
6/1/20,284.9485779,285.5640814,282.6264728,283.1487131,55758300
6/2/20,287.308075,287.3547208,284.529016,285.8812344,74267200
6/3/20,291.1316223,292.1015095,289.0426608,289.3224223,92567600
6/4/20,290.3669128,291.8963515,288.2406402,290.1337688,75794400
6/5/20,297.8088379,299.6087029,295.7758289,295.841116,150524700
6/8/20,301.4086304,301.6044634,298.0793266,298.6295431,73641200
6/9/20,299.1611023,301.4832077,297.8274968,298.7041206,77479200
6/10/20,297.4918213,300.6532684,296.764413,299.7486683,95000800
6/11/20,280.3417053,291.1036422,279.7821824,290.4601623,209243600
6/12/20,283.6990051,288.2406468,278.4672662,287.4572862,194678900
6/15/20,286.3475037,287.4945826,276.7326456,277.9263419,135782700
6/16/20,291.8590088,294.3583344,286.9257017,294.2091188,137627500
6/17/20,290.6466675,293.1926105,289.9005895,292.8941793,83398900
6/18/20,290.758606,291.2435353,288.6416682,289.1079563,80828700
6/19/20,289.0969543,294.4734889,287.1205445,294.2767941,135549600
6/22/20,290.9515381,291.3543036,287.326591,288.4880651,74649400
6/23/20,292.2910461,294.5859241,291.8789046,293.6398679,68471200
6/24/20,284.8349915,290.8484891,282.9710076,290.220901,132813500
6/25/20,287.8886108,288.1602561,282.2029562,284.2542878,89468000
6/26/20,281.0508423,286.9894191,280.4607579,286.7739724,127961000
6/29/20,285.1816101,285.3221064,280.0017704,282.3247473,79773300
6/30/20,288.8346252,290.5581416,284.5821187,284.7413383,113394800
7/1/20,290.8579102,292.141186,289.4997411,289.9680812,72396500
7/2/20,292.4596558,295.7099371,291.7852449,294.3423634,69344200
7/6/20,296.9744263,297.5645393,295.578782,296.3374906,61713800
7/7/20,293.911438,297.4146119,293.5273958,295.4101316,82910000
7/8/20,296.1595459,296.271943,292.899917,294.6889511,54638600
7/9/20,294.4734802,297.0212511,291.0077526,296.7777052,83354200
7/10/20,297.4802246,297.7518698,292.9560724,294.4079151,57550400
7/13/20,294.9043579,302.2760257,294.239323,299.8594036,102997500
7/14/20,298.7259827,299.5127904,292.2441448,293.4618173,93657000
7/15/20,301.4705505,302.5852023,299.0538994,301.9950892,87196500
